square;price;floor;type;;
63.09;8.8;7;2к;;
49.59;8.85;14;1к;;
77.65;8.9;1;2к;;
68.5;8.9;25;2к;;
63.09;8.95;17;2к;;
61.01;8.95;26;2к;;
77.8;9;1;2к;;
52.12;9;5;1к;;
63.99;9;7;2к;;
63.09;9.05;24;2к;;
63.09;9.05;25;2к;;
81.08;9.2;2;2к;;
69.3;9.2;8;2к;;
70.87;9.25;18;2к;;
42.82;9.3;8;1к;;
69.04;9.3;9;2к;;
82.58;9.35;1;3к;;
78.29;9.35;2;3к;;
80.47;9.4;2;3к;;
66;9.4;3;2к;;
63.95;9.45;20;2к;;
70.56;9.45;21;2к;;
94.94;9.5;2;3к;;
82.56;9.5;2;3к;;
63.63;9.5;20;2к;;
76.14;9.6;5;3к;;
75.57;9.6;6;3к;;
44.79;9.6;9;Ст;;
62.8;9.65;2;1к;;
64.36;9.65;20;2к;;
70.56;9.65;24;2к;;
69.8;9.7;2;2к;;
78.04;9.7;3;3к;;
77.53;9.7;5;3к;;
77.12;9.7;6;3к;;
77.12;9.7;7;3к;;
45.25;9.75;19;1к;;
82.79;9.8;1;3к;;
94.92;9.8;5;3к;;
82.56;9.8;5;3к;;
62.4;9.8;7;2к;;
69.9;9.9;2;2к;;
81.51;9.9;2;3к;;
78.04;9.9;5;3к;;
94.93;9.95;6;3к;;
82.56;9.95;6;3к;;
65.4;10;7;2к;;
54.47;10;8;1к;;
54.62;10.05;8;1к;;
84.16;10.05;22;3к;;
81.51;10.1;3;3к;;
94.46;10.1;11;3к;;
54.6;10.15;8;1к;;
81.17;10.15;25;3к;;
92.83;10.2;2;3к;;
86.75;10.2;4;3к;;
91.69;10.2;6;2к;;
74.92;10.2;16;2к;;
70.43;10.2;26;1к;;
75.86;10.25;7;2к;;
55.8;10.25;8;1к;;
56.5;10.25;8;1к;;
94.01;10.25;14;3к;;
81.51;10.3;5;3к;;
56.93;10.3;8;1к;;
94.7;10.35;2;3к;;
91.33;10.35;8;2к;;
57.53;10.35;8;1к;;
61.1;10.35;17;2к;;
84.16;10.35;25;3к;;
86.75;10.4;5;3к;;
69.76;10.45;2;2к;;
63.9;10.45;12;2к;;
57.75;10.45;20;2к;;
100.09;10.5;2;3к;;
83.41;10.5;8;3к;;
81.16;10.5;8;3к;;
83.41;10.5;9;3к;;
81.16;10.5;9;3к;;
84.1;10.55;6;3к;;
85.7;10.55;8;3к;;
89.5;10.6;5;3к;;
64.1;10.6;7;2к;;
73.9;10.6;16;2к;;
74.62;10.65;4;2к;;
69.9;10.65;6;2к;;
70.88;10.65;20;2к;;
67.67;10.7;2;2к;;
83.41;10.7;12;3к;;
81.16;10.7;12;3к;;
82.24;10.7;14;3к;;
67.55;10.75;14;2к;;
95.13;10.8;5;3к;;
62.27;10.8;7;2к;;
86.6;10.8;8;3к;;
92.68;10.8;8;3к;;
69.69;10.8;10;2к;;
89.7;10.9;3;3к;;
75.26;10.9;8;2к;;
89.74;10.9;11;3к;;
83.07;10.9;14;3к;;
80.41;10.9;14;3к;;
64.42;10.9;26;1к;;
52.05;10.95;8;Ст;;
65.35;10.95;26;1к;;
76.27;11;8;2к;;
51.74;11;15;1к;;
76.16;11;26;2к;;
66.67;11.05;17;2к;;
76.85;11.05;26;2к;;
64.41;11.1;14;2к;;
83.07;11.1;17;3к;;
80.41;11.1;17;3к;;
89.74;11.1;23;3к;;
89.74;11.1;23;3к;;
89.74;11.1;25;3к;;
77.96;11.2;8;2к;;
77.7;11.2;9;2к;;
68.5;11.25;8;2к;;
94.4;11.25;9;3к;;
64.76;11.25;15;2к;;
54.47;11.3;9;Ст;;
80.41;11.3;18;3к;;
89.74;11.3;27;3к;;
89.74;11.3;27;3к;;
103.16;11.35;1;2к;;
63.57;11.35;10;2к;;
59.83;11.35;10;2к;;
91.77;11.35;11;3к;;
83.44;11.4;9;3к;;
88.33;11.45;1;3к;;
80.01;11.5;21;3к;;
80.59;11.5;26;2к;;
91.77;11.55;12;3к;;
82.32;11.65;9;1к;;
89.1;11.7;18;3к;;
80.01;11.7;24;3к;;
80.01;11.7;25;3к;;
56.79;11.75;8;Ст;;
56.69;11.75;8;Ст;;
84.53;11.9;9;2к;;
65.42;11.9;15;1к;;
88.78;11.9;21;3к;;
91.13;11.95;18;3к;;
91.33;11.95;19;3к;;
71.3;12.05;8;2к;;
58.33;12.1;21;Ст;;
88.78;12.1;24;3к;;
88.78;12.1;25;3к;;
63.92;12.15;9;Ст;;
91.13;12.15;20;3к;;
91.33;12.15;20;3к;;
72.7;12.2;6;2к;;
80.85;12.2;11;2к;;
79.2;12.3;2;2к;;
77.92;12.3;4;3к;;
76.15;12.35;8;1к;;
61.85;12.4;21;Ст;;
91.4;12.45;9;2к;;
77.58;12.55;8;1к;;
61.21;12.55;21;Ст;;
77.34;12.6;8;3к;;
78.62;12.65;8;1к;;
83.3;12.75;4;3к;;
79.72;12.8;7;3к;;
92.68;12.8;8;2к;;
87.68;12.85;2;3к;;
